Gene	Predict	Prob
chr2:193041469-193059659	1	1.0
chr1:168214819-168216668	1	1.0
chr5:88012934-88179001	1	1.0
chr1:168369427-168391894	1	1.0
chr6:7107976-7252213	1	1.0
chr12:108126648-108154914	1	1.0
chr4:140211071-140222364	1	1.0
chr5:88185125-88237187	1	1.0
chr7:114562209-114659970	1	1.0
chr12:107712211-108053419	1	1.0
chr7:114562209-114563720	1	1.0
chr19:281044-291403	1	1.0
chr7:130126898-130131013	1	1.0
chr12:117176096-117291436	1	1.0
chr1:161334523-161337666	1	1.0
chr4:151503303-151505845	1	1.0
chr2:113403516-113421400	1	1.0
chr19:10196993-10203919	1	1.0
chr9:124048827-124095120	1	1.0
chr1:156163895-156182587	1	1.0
chr2:113973574-114036498	1	1.0
chr1:156268415-156269428	1	1.0
chr7:151078207-151107791	1	1.0
chr19:9938594-9940791	1	1.0
chr7:156436495-156469820	1	1.0
chr12:131649556-131697476	1	1.0
chr1:156711901-156721467	1	1.0
chr9:124964861-124989820	1	1.0
chr1:156711901-156722240	1	1.0
chr9:124964861-124990712	1	1.0
chr9:124964861-124991236	1	1.0
chr12:130880681-131113001	1	1.0
chr7:156436495-156453044	1	1.0
chr6:32006093-32009447	1	1.0
chr2:171568949-171571077	1	1.0
chr14:104022881-104029151	1	1.0
chr13:24043651-24061603	1	1.0
chr14:103587186-103589246	1	1.0
chr19:11274943-11306496	1	1.0
chr8:7682661-7686575	1	1.0
chr19:11274943-11305266	1	1.0
chr2:102770401-102796334	1	1.0
chr5:73602235-73604150	1	1.0
chr2:108145875-108172952	1	1.0
chr2:109196635-109303702	1	1.0
chr11:59480389-59481318	1	1.0
chr2:108439520-108443225	1	1.0
chr1:155232659-155243295	1	1.0
chr9:117655623-117692875	1	1.0
chr10:102737577-102747254	1	1.0
chr9:117781855-117880436	1	1.0
chr4:156275368-156281613	1	1.0
chr12:130880678-131118465	1	1.0
chr12:129693146-129697205	1	1.0
chr2:120124553-120130136	1	1.0
chr2:166095924-166248814	1	1.0
chr2:153508112-153574533	1	1.0
chr7:141463897-141464997	1	1.0
chr2:158175143-158184224	1	1.0
chr2:160471805-160474553	1	1.0
chr12:120928141-120933749	1	1.0
chr2:162355578-162364413	1	1.0
chr7:136553993-136704994	1	1.0
chr4:146403957-146480325	1	1.0
chr2:128014866-128051720	1	1.0
chr7:134832824-134850967	1	1.0
chr12:119256612-119271341	1	1.0
chr6:12957539-13289920	1	1.0
chr2:168810532-169104105	1	1.0
chr7:131185031-131241387	1	1.0
chr10:124214169-124216868	1	1.0
chr1:161199456-161208000	1	1.0
chr2:153508112-153573975	1	1.0
chr9:130026756-130155828	1	1.0
chr1:160085549-160113374	1	1.0
chr2:153508107-153574139	1	1.0
chr2:128395956-128433104	1	1.0
chr2:130908965-130939330	1	1.0
chr9:125795922-125797944	1	1.0
chr2:130949318-130956012	1	1.0
chr1:158901342-158946849	1	1.0
chr7:143955789-143956721	1	1.0
chr2:132285248-132291239	1	1.0
chr19:8554940-8567524	1	1.0
chr1:159174665-159176290	1	1.0
chr19:8429039-8439254	1	1.0
chr6:33259431-33266719	1	1.0
chr6:13013786-13289920	1	1.0
chr19:7599625-7626649	1	1.0
chr6:33259431-33267165	1	1.0
chr7:142568961-142583490	1	1.0
chr4:138114910-138121102	1	1.0
chr18:74961804-74989854	1	1.0
chr1:170904612-171033906	1	1.0
chr7:72716513-72722823	1	1.0
chr18:19746859-19748929	1	1.0
chrX:13789041-13835478	1	1.0
chr12:65107229-65153186	1	1.0
chr20:1514897-1538351	1	1.0
chr20:2361547-2413399	1	1.0
chr12:62995531-62997214	1	1.0
chr7:72716513-72722864	1	1.0
chr7:72039498-72298779	1	1.0
chr10:93806449-94003036	1	1.0
chrX:15402924-15511711	1	1.0
chr7:66767625-66786513	1	1.0
chr20:4702555-4709106	1	1.0
chr6:140264-148159	1	1.0
chr6:44214838-44221620	1	1.0
chrX:15645441-15682928	1	1.0
chr1:104198141-104207173	1	1.0
chr10:93683527-93791194	1	1.0
chr10:93806449-94050835	1	1.0
chr4:106631970-106768882	1	1.0
chr15:62352702-62354633	1	1.0
chr4:106482748-106491392	1	1.0
chr2:240984494-240985489	1	1.0
chr10:95351593-95361501	1	1.0
chr18:29171730-29178986	1	1.0
chr12:69753490-69784650	1	1.0
chr7:77428288-77586821	1	1.0
chr10:95351593-95361270	1	1.0
chr1:197703139-197744610	1	1.0
chr20:1161205-1165319	1	1.0
chr12:69068151-69080639	1	1.0
chr18:24432002-24445767	1	1.0
chr18:24432002-24442874	1	1.0
chr2:242626435-242661222	1	1.0
chr7:74977964-74988292	1	1.0
chr6:43638934-43655549	1	1.0
chr20:1161205-1165117	1	1.0
chr6:44355443-44418162	1	1.0
chr15:67807260-67813311	1	1.0
chr1:202931002-202936385	1	1.0
chr5:111496223-111498198	1	1.0
chr5:180034749-180076600	1	1.0
chr1:33231228-33240571	1	1.0
chrX:26576454-26579169	1	1.0
chr7:55086714-55275773	1	1.0
chr20:18789995-18810847	1	1.0
chr1:204485534-204527248	1	1.0
chr7:48128862-48148333	1	1.0
chr7:48128851-48148330	1	1.0
chr15:67807260-67813400	1	1.0
chr20:23499783-23522655	1	1.0
chr7:48026746-48068704	1	1.0
chrX:30233680-30238206	1	1.0
chrX:30260117-30262297	1	1.0
chr17_ctg5_hap1:592236-595386	1	1.0
chr6:46671940-46703112	1	1.0
chr4:84377085-84382876	1	1.0
chr18:109065-122221	1	1.0
chr20:17922244-17949437	1	1.0
chr20:16347488-16554093	1	1.0
chr20:14303631-14318258	1	1.0
chr15:67807260-67814182	1	1.0
chr5:107194738-107717799	1	1.0
chr1:33979599-34631443	1	1.0
chr18:11752084-11885683	1	1.0
chr20:11873141-11907243	1	1.0
chr7:56876817-56880429	1	1.0
chr5:108572836-108662070	1	1.0
chr7:56601923-56605823	1	1.0
chrX:22291030-22292576	1	1.0
chr15:72491370-72523531	1	1.0
chr11:15133970-15268756	1	1.0
chr20:13765672-13784062	1	1.0
chr15:72491370-72523965	1	1.0
chr20:13765674-13802226	1	1.0
chr5:110409072-110413724	1	1.0
chr18:29672569-29711524	1	1.0
chr4:107236853-107270381	1	1.0
chr9:139921916-139931234	1	1.0
chr15:44084174-44088287	1	1.0
chr4:123844233-124240587	1	1.0
chr2:219283846-219318018	1	1.0
chr5:90664448-90675914	1	1.0
chr12:95611522-95696566	1	1.0
chr1:40862472-40888998	1	1.0
chr5:90664448-90679134	1	1.0
chr4:123844233-123949656	1	1.0
chr15:44084174-44094769	1	1.0
chr12:98993413-98993662	1	1.0
chr7:100136826-100165843	1	1.0
chr5:92918928-92930315	1	1.0
chr5:94727070-94786145	1	1.0
chr7:99905325-99919819	1	1.0
chr18:51850862-51884228	1	1.0
chr12:93963745-93970521	1	1.0
chr15:45411271-45415241	1	1.0
chr1:175036969-175117204	1	1.0
chr7:100861446-100867471	1	1.0
chr6:43193367-43197219	1	1.0
chr18:66340925-66382345	1	1.0
chr1:170904675-170967946	1	1.0
chr2:203130486-203168384	1	1.0
chr5:88185125-88763398	1	1.0
chr2:204104064-204170749	1	1.0
chr1:171588903-171596028	1	1.0
chr1:171604557-171621828	1	1.0
chr18:68297755-68318190	1	1.0
chr18:57567228-57571537	1	1.0
chr12:100041531-100043892	1	1.0
chr6:5108653-5261183	1	1.0
chr10:98912799-99052430	1	1.0
chr12:100987396-101022066	1	1.0
chr2:208125169-208135788	1	1.0
chr2:208423846-208470712	1	1.0
chr11:18343816-18388590	1	1.0
chr18:56530156-56653712	1	1.0
chrUn_gl000227:66130-74245	1	1.0
chr12:93771920-93796052	1	1.0
chr7:99662080-99679346	1	1.0
chr1:186649786-186650578	1	1.0
chr7:98923521-98963885	1	1.0
chr2:231555636-231565244	1	1.0
chr7:96634865-96640352	1	1.0
chr6:42981987-42989031	1	1.0
chr12:77252489-77272799	1	1.0
chr7:94139121-94186328	1	1.0
chr7:92817852-92861511	1	1.0
chr15:54270638-54925637	1	1.0
chr2:223725754-223809356	1	1.0
chr4:107279340-107288592	1	1.0
chr10:129535449-129539447	1	1.0
chr7:91570189-91739987	1	1.0
chrX:7170514-7272684	1	1.0
chr6:2832566-2842097	1	1.0
chr7:91570176-91739987	1	1.0
chr18:32173299-32409287	1	1.0
chr10:128102438-128110448	1	1.0
chr4:109541746-109546526	1	1.0
chr10:96305524-96361856	1	1.0
chrX:2958275-3030770	1	1.0
chr11:63228876-63258639	1	1.0
chrX:294668-347642	1	1.0
chr4:115748923-116034776	1	1.0
chr18:46446223-46477081	1	1.0
chr18:46446223-46475703	1	1.0
chr18:46446223-46469177	1	1.0
chr4:113152943-113194266	1	1.0
chr2:227596033-227663506	1	1.0
chr7:99425636-99463716	1	1.0
chr2:228481707-228483371	1	1.0
chr1:182347228-182360539	1	1.0
chr1:182347228-182361341	1	1.0
chr1:182347233-182360925	1	1.0
chr4:109541746-109551639	1	1.0
chr18:42111744-42133868	1	1.0
chr2:99613724-99771405	1	1.0
chr1:155107851-155111329	1	1.0
chr12:56435702-56438481	1	1.0
chr5:35055807-35230589	1	1.0
chr2:545805-546667	1	1.0
chr19:45281147-45303909	1	1.0
chr13:113831851-113862983	1	1.0
chr5:33751301-33892095	1	1.0
chr5:710470-784844	1	1.0
chr2:3705790-3750260	1	1.0
chr5:35055802-35118224	1	1.0
chr19:44645707-44664466	1	1.0
chr19:45449308-45452822	1	1.0
chr8:95835518-95892721	1	1.0
chr14:58030640-58331717	1	1.0
chr14:58030640-58332395	1	1.0
chr14:58030640-58332669	1	1.0
chr5:710470-767034	1	1.0
chr19:44455375-44471752	1	1.0
chr8:94741585-94753237	1	1.0
chr2:316284-337054	1	1.0
chr13:114581601-114586459	1	1.0
chr6:29003798-29044517	1	1.0
chr19:46436992-46477123	1	1.0
chr8:103838536-103876391	1	1.0
chr9:5299866-5304228	1	1.0
chr9:5299866-5304716	1	1.0
chr8:103838530-103876428	1	1.0
chr19:58816740-58827023	1	1.0
chr5:1572073-1594646	1	1.0
chr13:115095232-115099423	1	1.0
chr19:46318668-46366405	1	1.0
chr8:101928751-101962799	1	1.0
chr5:1392911-1445555	1	1.0
chr8:101928751-101965610	1	1.0
chr9:12693385-12710285	1	1.0
chr14:52471527-52535777	1	1.0
chr8:101928751-101964248	1	1.0
chr19:45862023-45873845	1	1.0
chr8:101928751-101963540	1	1.0
chr19:44395956-44405955	1	1.0
chr9:33240165-33248565	1	1.0
chr13:24881304-24896669	1	1.0
chr4:188123140-188134029	1	1.0
chr8:80946981-81083356	1	1.0
chr9:37120469-37358145	1	1.0
chr8:80946981-80993065	1	1.0
chr6:29759683-29765584	1	1.0
chr6:29968788-30028966	1	1.0
chr2:24252206-24270296	1	1.0
chr8:74223141-74268696	1	1.0
chr1:79115516-79129758	1	1.0
chr13:103418238-103426136	1	1.0
chr11:56019676-56020698	1	1.0
chr2:25383722-25391720	1	1.0
chr8:67976603-68108849	1	1.0
chr8:67687416-67774257	1	1.0
chr13:96085853-96232010	1	1.0
chr11:36589563-36601310	1	1.0
chr6:30539219-30559299	1	1.0
chr8:80946981-81083799	1	1.0
chr2:11018393-11025244	1	1.0
chr9:33265047-33282068	1	1.0
chr9:34379018-34381587	1	1.0
chr8:91970699-91997466	1	1.0
chr19:44111376-44123781	1	1.0
chr8:89044242-89339712	1	1.0
chr1:118419334-118472244	1	1.0
chr5:92283-190081	1	1.0
chr14:62022990-62036912	1	1.0
chr14:62037258-62121431	1	1.0
chr9:34379018-34397808	1	1.0
chr4_ctg9_hap1:224704-248966	1	1.0
chr1:85109390-85156151	1	1.0
chr1:85109389-85156144	1	1.0
chr1:119542967-119544028	1	1.0
chr6:29570005-29596005	1	1.0
chr6:29570005-29600912	1	1.0
chr6:29570015-29600960	1	1.0
chr9:34689567-34691273	1	1.0
chr1:92417709-92479985	1	1.0
chr11:45669239-45687172	1	1.0
chr14:50798644-50864016	1	1.0
chr19:54695159-54698390	1	1.0
chr1:100652475-100715390	1	1.0
chr14:23791215-23795394	1	1.0
chr1:110198721-110204322	1	1.0
chr19:50354249-50364001	1	1.0
chr8:124693034-124749633	1	1.0
chr19:54658899-54663459	1	1.0
chr19:54677106-54693733	1	1.0
chr10:112874049-112878354	1	1.0
chr8:126009231-126010440	1	1.0
chr14:35385686-35451772	1	1.0
chr8:124194905-124222318	1	1.0
chr8:124194905-124214899	1	1.0
chr8:124085489-124164392	1	1.0
chr8:124025410-124054542	1	1.0
chr19:49375649-49379319	1	1.0
chr14:36988483-36992221	1	1.0
chr1:110162459-110174673	1	1.0
chr19:53517344-53519833	1	1.0
chr19:47137333-47137939	1	1.0
chr10:114190058-114206672	1	1.0
chr19:50902109-50921275	1	1.0
chr1:104292276-104301314	1	1.0
chr1:104292279-104301311	1	1.0
chr19:51628137-51633567	1	1.0
chr14:24734744-24740833	1	1.0
chr19:51874874-51875908	1	1.0
chr8:134787794-134789595	1	1.0
chr14:24674902-24677454	1	1.0
chr14:24105573-24114848	1	1.0
chr19:52357235-52391204	1	1.0
chr14:24584492-24594451	1	1.0
chr19:52800422-52829174	1	1.0
chr14:24407940-24424321	1	1.0
chr19:50529262-50552031	1	1.0
chr14:24407940-24423406	1	1.0
chr19:50372297-50380612	1	1.0
chr19:54865233-54882163	1	1.0
chr6:27782080-27782518	1	1.0
chr14:23352431-23356887	1	1.0
chr19:47978407-47987476	1	1.0
chr19:56879468-56891196	1	1.0
chr14:21467452-21470030	1	1.0
chr19:57078837-57094262	1	1.0
chr1:112452279-112453552	1	1.0
chr19:48216679-48246391	1	1.0
chr19:48023947-48076405	1	1.0
chr8:107460152-107764921	1	1.0
chr14:20833826-20881660	1	1.0
chr19:54976210-54984443	1	1.0
chr19:47931274-47975150	1	1.0
chr19:58258183-58269516	1	1.0
chr8:104278673-104311046	1	1.0
chr6:27861203-27861669	1	1.0
chr19:47724081-47734456	1	1.0
chr19:47163621-47180713	1	1.0
chr5:2917968-2920642	1	1.0
chr8:110975865-110988000	1	1.0
chr1:94027298-94147393	1	1.0
chr19:55890612-55895660	1	1.0
chr19:55866276-55874628	1	1.0
chr8:120846216-120868134	1	1.0
chr19:49109999-49110971	1	1.0
chr8:145554228-145560144	1	1.0
chr6:26365387-26378548	1	1.0
chr8:120569326-120685630	1	1.0
chr8:120569326-120651079	1	1.0
chr19:55602286-55629005	1	1.0
chr8:120569326-120605219	1	1.0
chr14:45584802-45603684	1	1.0
chr8:145689208-145690875	1	1.0
chr8:145689208-145691084	1	1.0
chr10:112679301-112773425	1	1.0
chr8:119352981-119634202	1	1.0
chr14:21853358-21924282	1	1.0
chr14:21853358-21905434	1	1.0
chr13:95361879-95364799	1	1.0
chr13:95356998-95360740	1	1.0
chr6:30594651-30612448	1	1.0
chr9:98828121-98864194	1	1.0
chr1:152943124-152945049	1	1.0
chr8:22077216-22089865	1	1.0
chr8:22077216-22089851	1	1.0
chr8:22077216-22089612	1	1.0
chr8:22019311-22021991	1	1.0
chr19:16685746-16739015	1	1.0
chr9:98782014-98784093	1	1.0
chr6:31583011-31584792	1	1.0
chr2:71693829-71913893	1	1.0
chr19:16222699-16245044	1	1.0
chr5:61687546-61699732	1	1.0
chr2:73481818-73511606	1	1.0
chr14:94770585-94789673	1	1.0
chr13:40229764-40326765	1	1.0
chr19:15917813-15918936	1	1.0
chr6:144261437-144282547	1	1.0
chr6:31554054-31556686	1	1.0
chr1:152658599-152659873	1	1.0
chr14:88399358-88459615	1	1.0
chr6:31439006-31440185	1	1.0
chr1:63906441-63988944	1	1.0
chr13:46915874-46964177	1	1.0
chr13:46915874-46961635	1	1.0
chr19:19101696-19144380	1	1.0
chr13:46915874-46961387	1	1.0
chr4:169908742-169931406	1	1.0
chr13:46528600-46626881	1	1.0
chr14:91006932-91282761	1	1.0
chr13:43424383-43446880	1	1.0
chr6:17759414-17987866	1	1.0
chr9:95255829-95298374	1	1.0
chr8:24151553-24193612	1	1.0
chr8:23559964-23564111	1	1.0
chr8:23154410-23261633	1	1.0
chr2:65073264-65090765	1	1.0
chr10:103544207-103578201	1	1.0
chr8:17721900-17753047	1	1.0
chr8:17721900-17752913	1	1.0
chr8:17721898-17753033	1	1.0
chr2:87257798-87303536	1	1.0
chr13:29274218-29293107	1	1.0
chr2:86116403-86119375	1	1.0
chr9:110047050-110094475	1	1.0
chr6:15523801-15663259	1	1.0
chr11:58701116-58825925	1	1.0
chr19:12798812-12799236	1	1.0
chr5:68576002-68628628	1	1.0
chr8:10332075-10339484	1	1.0
chr19:15530789-15560767	1	1.0
chr4:159726991-159829202	1	1.0
chr4:159131638-159176565	1	1.0
chr19:12305830-12318391	1	1.0
chr2:99613724-99757643	1	1.0
chr14:102276172-102378962	1	1.0
chr14:102276172-102394314	1	1.0
chr2:99613724-99757892	1	1.0
chr14:100070875-100136675	1	1.0
chr6:15523801-15663289	1	1.0
chr19:13056676-13064456	1	1.0
chr13:29274218-29293150	1	1.0
chr19:15530789-15543572	1	1.0
chr2:74699959-74710125	1	1.0
chr8:12272030-12275541	1	1.0
chr2:74785010-74875164	1	1.0
chr2:74785010-74875457	1	1.0
chr2:74785010-74875465	1	1.0
chr13:31192057-31234899	1	1.0
chr19:14183598-14185874	1	1.0
chr2:85646054-85664152	1	1.0
chr8:11653082-11696818	1	1.0
chr2:85822868-85824831	1	1.0
chr14:96968719-97033432	1	1.0
chr9:107379529-107380485	1	1.0
chr10:121332978-121356541	1	1.0
chr2:85921481-85925975	1	1.0
chr1:63915130-63988944	1	1.0
chr14:88399358-88459526	1	1.0
chr8:65499132-65711294	1	1.0
chr4:186320692-186347118	1	1.0
chr19:37638340-37663643	1	1.0
chr6:30655826-30658761	1	1.0
chr9:69174196-69181041	1	1.0
chr9:69174196-69182159	1	1.0
chr9:69174196-69198043	1	1.0
chr19:37407234-37443636	1	1.0
chr4:186320694-186347139	1	1.0
chr4:185764450-185776806	1	1.0
chr13:77522646-77532773	1	1.0
chr8:53106922-53112112	1	1.0
chr8:49984903-49988652	1	1.0
chr14:73603215-73690399	1	1.0
chr9:69651361-69664949	1	1.0
chr19:36825355-36870103	1	1.0
chr13:73326308-73356038	1	1.0
chr8:42704780-42751748	1	1.0
chr14:70833216-70883807	1	1.0
chr2:32390933-32449448	1	1.0
chr8:28555920-28558981	1	1.0
chr1:146373857-146467639	1	1.0
chr2:27237622-27250087	1	1.0
chr8:64081186-64125346	1	1.0
chr8:64081180-64125344	1	1.0
chr8:64081112-64125346	1	1.0
chr1:76540431-77042892	1	1.0
chr19:39327028-39340617	1	1.0
chr2:27274291-27293490	1	1.0
chr13:89887545-89932494	1	1.0
chr13:78315295-78338377	1	1.0
chr6:30594651-30614598	1	1.0
chr2:27498301-27504366	1	1.0
chr2:27558409-27560670	1	1.0
chr13:79893003-79980390	1	1.0
chr9:66523814-66553911	1	1.0
chr13:79893003-79980356	1	1.0
chr2:28607276-28617539	1	1.0
chr2:43449541-43453745	1	1.0
chr4:178733200-178829090	1	1.0
chr8:41348101-41368499	1	1.0
chr9:87284948-87430617	1	1.0
chr8:30601681-30624520	1	1.0
chr13:50106082-50159694	1	1.0
chr19:22798359-22806773	1	1.0
chr8:29989187-30002181	1	1.0
chr4:174089962-174245118	1	1.0
chr9:86553227-86571657	1	1.0
chr19:21324843-21378856	1	1.0
chr13:50070089-50103112	1	1.0
chr2:45167293-45168646	1	1.0
chr6:19450052-19459579	1	1.0
chr2:61704984-61765491	1	1.0
chr19:19778962-19794315	1	1.0
chr19:19365565-19373613	1	1.0
chr19:19292685-19302961	1	1.0
chr2:62115835-62368320	1	1.0
chr2:62132777-62363205	1	1.0
chr8:30601682-30624520	1	1.0
chr6:31082577-31107869	1	1.0
chr19:32592998-32596822	1	1.0
chr8:32298262-32300241	1	1.0
chr8:39172182-39260375	1	1.0
chr9:71944241-72007390	1	1.0
chr19:36347813-36358038	1	1.0
chr2:45167293-45169017	1	1.0
chr4:176986992-177103966	1	1.0
chr13:52706779-52733670	1	1.0
chr14:74872602-74892913	1	1.0
chr1:67632137-67725650	1	1.0
chr8:37373924-37378904	1	1.0
chr2:48541821-48606434	1	1.0
chr6:19802395-19804990	1	1.0
chr13:51935713-52027172	1	1.0
chr19:33321418-33360673	1	1.0
chr8:33356240-33370653	1	1.0
chr9:80331024-80646727	1	1.0
chr4:83821888-83841122	1	1.0
chr6:44225903-44233288	1	1.0
chr6_mann_hap4:1267361-1327563	1	1.0
chr6_dbb_hap3:1888289-1906085	1	1.0
chr6_dbb_hap3:1262134-1322696	1	1.0
chr5:140805853-140807825	1	1.0
chr3:72423744-72495774	1	1.0
chr6_dbb_hap3:873362-899363	1	1.0
chr4:1107427-1126763	1	1.0
chr5:156588857-156593275	1	1.0
chr17:16284405-16286054	1	1.0
chr4:675618-682940	1	1.0
chrX:118750908-118827131	1	1.0
chr3:74311720-74570291	1	1.0
chr6_dbb_hap3:307209-347926	1	1.0
chrX:119029936-119054679	1	1.0
chr6_cox_hap2:4703245-4710979	1	1.0
chr16:27279526-27301789	1	1.0
chr6:119231762-119256327	1	1.0
chrX:112017731-112084059	1	1.0
chr16:21995186-22012437	1	1.0
chr6_dbb_hap3:2839597-2842231	1	1.0
chr3:65344947-66024593	1	1.0
chr11:74407474-74442471	1	1.0
chr10:75504130-75531919	1	1.0
chr6_dbb_hap3:2724340-2725519	1	1.0
chr17:26698715-26731067	1	1.0
chr10:26986630-27035726	1	1.0
chr4:1205233-1242918	1	1.0
chr6_dbb_hap3:2379749-2405007	1	1.0
chr11:5877979-5878932	1	1.0
chr5:140529638-140532868	1	1.0
chr6_dbb_hap3:1949488-1952423	1	1.0
chr3:58846954-59035751	1	1.0
chr3:63804975-63834312	1	1.0
chr10:28808846-28821283	1	1.0
chr6_dbb_hap3:1888289-1908235	1	1.0
chr10:28966450-28971861	1	1.0
chr6_cox_hap2:4703245-4710533	1	1.0
chr10:34048641-34061608	1	1.0
chr3:84931241-84942530	1	1.0
chr11:125440186-125462463	1	1.0
chr16:29464909-29466285	1	1.0
chr3:112640054-112693950	1	1.0
chr11:120738642-120765506	1	1.0
chr10:43867092-43871783	1	1.0
chrX:129757357-130037291	1	1.0
chr6_cox_hap2:3092629-3094410	1	1.0
chr5:155754174-156194798	1	1.0
chr11:77300998-77321401	1	1.0
chr16:29690501-29710020	1	1.0
chr5:155754174-156185070	1	1.0
chr16:29802072-29816705	1	1.0
chr16:29831783-29859342	1	1.0
chr6_cox_hap2:3063670-3066298	1	1.0
chr17:7211303-7215782	1	1.0
chr6_cox_hap2:2948660-2949839	1	1.0
chr16:29464909-29465645	1	1.0
chr3:195776155-195808961	1	1.0
chr16:29464909-29465526	1	1.0
chrX:123095162-123236505	1	1.0
chr10:35416385-35501886	1	1.0
chr11:124789146-124790573	1	1.0
chr3:99357438-99518061	1	1.0
chrX:120181464-120183948	1	1.0
chr17:8280834-8286511	1	1.0
chr3:99536706-99900576	1	1.0
chr6_cox_hap2:3476744-3480098	1	1.0
chr3:111261044-111384843	1	1.0
chr11:123893720-123894655	1	1.0
chr11:123753627-123756377	1	1.0
chr17:7942377-7952451	1	1.0
chr3:111261044-111325927	1	1.0
chr3:111261044-111371218	1	1.0
chr17:7549945-7561089	1	1.0
chr11:74407473-74430348	1	1.0
chr10:25401987-25450162	1	1.0
chr10:44101886-44113352	1	1.0
chr1:16888818-16940059	1	1.0
chr16:11439316-11445617	1	1.0
chr10:12938625-13141989	1	1.0
chr1:16787443-16794976	1	1.0
chr3:42744033-42748257	1	1.0
chr11:573808-575885	1	1.0
chr10:13359429-13390293	1	1.0
chr3:42850937-42908778	1	1.0
chr5:169673237-169724781	1	1.0
chr5:139937853-139944189	1	1.0
chr16:11961985-12009813	1	1.0
chr16:11961985-12010511	1	1.0
chr3:42977834-42984283	1	1.0
chr6_mann_hap4:2896938-2899570	1	1.0
chr4:12225075-12252909	1	1.0
chr3:43020803-43099207	1	1.0
chrX:92925932-92928577	1	1.0
chr10:12938625-13043713	1	1.0
chr11:74407473-74422412	1	1.0
chr12:7052980-7055166	1	1.0
chr6_mcf_hap5:2232347-2241824	1	1.0
chr6_mcf_hap5:2037711-2040646	1	1.0
chr11:6701616-6704571	1	1.0
chr6_mcf_hap5:1976507-1994306	1	1.0
chr3:35722432-35727379	1	1.0
chr4:25162294-25200127	1	1.0
chr6_mcf_hap5:1060142-1065864	1	1.0
chr6_mcf_hap5:873208-904113	1	1.0
chr6_mcf_hap5:873208-899207	1	1.0
chr6:96023048-96025327	1	1.0
chr10:11113506-11147451	1	1.0
chr3:38537831-38567794	1	1.0
chr11:71498557-71512280	1	1.0
chr12:7076500-7076769	1	1.0
chr11:71498560-71512283	1	1.0
chr3:44379611-44401294	1	1.0
chr1:16090994-16101715	1	1.0
chr5:167975500-168006373	1	1.0
chr3:44379621-44450940	1	1.0
chr3:48509208-48514567	1	1.0
chr10:75936521-76469048	1	1.0
chr5:162887638-162918947	1	1.0
chr16:16469904-16487829	1	1.0
chr3:48885370-48889415	1	1.0
chr5:140220772-140391931	1	1.0
chr6:110299514-110301923	1	1.0
chr10:21462919-21463852	1	1.0
chr16:18411776-18446302	1	1.0
chr3:49449639-49453909	1	1.0
chr6_dbb_hap3:3285309-3288663	1	1.0
chr12:1136914-1605099	1	1.0
chrX:103136651-103174131	1	1.0
chr10:25137543-25241535	1	1.0
chr6_dbb_hap3:2868586-2870367	1	1.0
chr6_dbb_hap3:4540757-4548045	1	1.0
chr16:15198159-15230816	1	1.0
